"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"96","GTD","Robby Foley","41","1:21.884","58:17.623","Green","Track","11.545","29.589","40.750"
"38","LMP3","Rasmus Lindh","42","1:18.322","58:17.760","Green","Track","10.761","28.724","38.837"
"55","DPi","Harry Tincknell","46","1:12.936","58:18.403","Green","Track","10.020","26.724","36.192"
"31","DPi","Felipe Nasr","46","1:13.358","58:25.649","Green","Track","9.912","26.691","36.755"
"88","GTD","Rob Ferriol","41","1:23.694","58:27.436","Green","Track","11.780","30.227","41.687"
"10","DPi","Filipe Albuquerque","46","1:13.524","58:31.399","Green","Track","10.162","26.678","36.684"
"5","DPi","Tristan Vautier","46","1:13.564","58:32.342","Green","Track","10.209","26.887","36.468"
"01","DPi","Kevin Magnussen","46","1:13.494","58:33.414","Green","Track","10.004","27.094","36.396"
"36","LMP3","Oliver Askew","42","1:19.089","58:36.190","Green","Track","10.929","29.350","38.810"
"60","DPi","Olivier Pla","46","1:14.578","58:36.551","Green","Track","10.071","27.195","37.312"
"54","LMP3","Colin Braun","42","1:19.020","58:37.631","Green","Track","11.100","29.123","38.797"
"12","GTD","Zach Veach","41","1:22.498","58:42.440","Green","Track","11.714","30.279","40.505"
"28","GTD","Michael de Quesada","41","1:23.200","58:45.156","Green","Track","11.821","30.491","40.888"
"91","LMP3","Dylan Murry","42","1:18.118","58:49.252","Green","Track","11.019","28.829","38.270"
"23","GTD","Ross Gunn","41","1:21.863","58:53.817","Green","Track","11.694","29.608","40.561"
"76","GTD","Mario Farnbacher","41","1:21.689","58:56.952","Green","Track","11.577","29.743","40.369"
"16","GTD","Patrick Long","41","1:21.619","59:03.047","Green","Track","11.588","29.730","40.301"
"66","GTD","Marc Miller","41","1:22.350","59:11.196","Green","Track","11.634","30.106","40.610"
"44","GTD","Andy Lally","41","1:22.118","59:14.643","Green","Track","11.583","29.825","40.710"
"1","GTD","Madison Snow","42","1:22.691","59:18.931","Green","Track","11.683","30.119","40.889"
"9","GTD","Zacharie Robichon","42","1:22.848","59:19.454","Green","Track","11.705","30.049","41.094"
"39","GTD","Richard Heistand","42","1:22.850","59:20.132","Green","Track","11.718","30.079","41.053"
"33","LMP3","Joao Barbosa","42","1:18.693","59:25.181","Green","Track","10.927","29.146","38.620"
"74","LMP3","Felipe Fraga","43","1:18.536","59:25.695","Green","Track","10.976","28.833","38.727"
"55","DPi","Harry Tincknell","47","1:13.948","59:32.351","Green","Track","10.776","26.992","36.180"
"14","GTD","Jack Hawksworth","42","1:22.066","59:37.086","Green","Track","11.469","30.162","40.435"
"38","LMP3","Rasmus Lindh","43","1:19.467","59:37.227","Green","Track","11.202","29.070","39.195"
"31","DPi","Felipe Nasr","47","1:13.638","59:39.287","Green","Track","9.904","26.735","36.999"
"96","GTD","Robby Foley","42","1:22.744","59:40.367","Green","Track","11.859","29.897","40.988"
"10","DPi","Filipe Albuquerque","47","1:13.070","59:44.469","Green","Track","9.888","26.770","36.412"
"5","DPi","Tristan Vautier","47","1:13.156","59:45.498","Green","Track","10.053","26.776","36.327"
"01","DPi","Kevin Magnussen","47","1:13.369","59:46.783","Green","Track","9.903","26.900","36.566"
"60","DPi","Olivier Pla","47","1:14.038","59:50.589","Green","Track","10.287","26.615","37.136"
"88","GTD","Rob Ferriol","42","1:24.327","59:51.763","Green","Track","11.874","30.489","41.964"
