"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"33","GTD","Ben Keating","2","1:25.450","3:25.137","Green","Track","4.459","7.705","4.529","8.918","7.667","1.990","0.534","7.341","16.070","15.553","5.885","4.799","153.218"
"44","GTD","John Potter","2","1:25.652","3:25.639","Green","Track","4.485","7.643","4.583","8.906","7.815","2.013","0.540","7.260","15.952","15.719","5.905","4.831","151.515"
"75","GTD","Kenny Habul","2","1:25.655","3:25.872","Green","Track","4.417","7.927","4.532","8.883","7.801","2.008","0.538","7.386","15.675","15.835","5.876","4.777","152.078"
"7","P","Helio Castroneves","3","1:15.362","4:15.315","Green","Track","3.839","6.272","3.995","7.860","6.971","1.819","0.489","6.838","13.948","13.881","5.251","4.199","167.317"
"6","P","Dane Cameron","3","1:15.553","4:15.713","Green","Track","3.889","6.367","3.978","7.900","6.886","1.802","0.486","6.895","14.093","13.717","5.288","4.252","168.350"
"77","P","Oliver Jarvis","3","1:15.158","4:16.252","Green","Track","3.852","6.416","3.978","7.899","6.982","1.843","0.496","6.663","13.884","13.707","5.238","4.200","164.956"
"55","P","Jonathan Bomarito","3","1:15.128","4:16.894","Green","Track","3.843","6.439","3.977","7.998","6.959","1.833","0.493","6.608","13.892","13.602","5.259","4.225","165.960"
"10","P","Renger Van Der Zande","3","1:15.531","4:18.079","Green","Track","3.928","6.575","4.110","7.866","7.121","1.862","0.501","6.603","13.754","13.750","5.217","4.244","163.310"
"5","P","Joao Barbosa","3","1:15.845","4:19.653","Green","Track","3.930","6.467","4.042","7.958","7.103","1.850","0.498","6.643","13.910","13.945","5.215","4.284","164.294"
"52","P","Gustavo Yacaman","3","1:16.160","4:20.542","Green","Track","3.931","6.492","4.013","7.824","6.936","1.813","0.487","6.808","14.052","14.256","5.259","4.289","168.004"
"99","P","Misha Goikhberg","3","1:16.098","4:21.010","Green","Track","3.874","6.631","4.058","7.961","6.929","1.800","0.482","6.648","14.089","14.014","5.387","4.225","169.747"
"38","P","James French","3","1:16.383","4:22.377","Green","Track","3.901","6.475","4.117","8.130","7.000","1.805","0.483","7.040","13.983","13.793","5.461","4.195","169.396"
"31","P","Eric Curran","3","1:16.633","4:23.074","Green","Track","3.932","6.482","4.128","8.085","7.086","1.843","0.496","6.894","14.049","14.088","5.281","4.269","164.956"
"22","P","Johannes van Overbeek","3","1:16.214","4:24.069","Green","Track","3.908","6.545","4.041","8.090","6.934","1.809","0.487","6.499","14.188","13.917","5.526","4.270","168.004"
